time,sym,src,price,size
2023-04-21D08:00:01.307000000,ORCL,O,32.84,651
2023-04-21D08:00:02.347000000,ORCL,N,32.84,34
2023-04-21D08:00:07.344000000,DELL,N,28.46,392
2023-04-21D08:00:07.755000000,DELL,N,28.46,702
2023-04-21D08:00:07.920000000,ORCL,N,32.87,2456
2023-04-21D08:00:11.533000000,AAPL,O,25.3,3580
2023-04-21D08:00:12.770000000,AAPL,O,25.3,4333
2023-04-21D08:00:17.936000000,DELL,N,28.45,868
2023-04-21D08:00:21.372000000,DELL,L,28.44,4546
2023-04-21D08:00:25.986000000,CSCO,L,37.28,4104
2023-04-21D08:00:29.072000000,DELL,L,28.38,3941
2023-04-21D08:00:47.369000000,YHOO,N,35.63,
2023-04-21D08:00:47.373000000,NOK,O,30.99,1328
2023-04-21D08:00:47.600000000,CSCO,N,37.24,3242
2023-04-21D08:00:48.154000000,MSFT,N,34.49,499
2023-04-21D08:00:51.321000000,GOOG,L,41.77,289
2023-04-21D08:00:51.653000000,GOOG,L,41.79,91
2023-04-21D08:01:02.408000000,DELL,L,28.4,2552
2023-04-21D08:01:03.256000000,DELL,L,28.4,3400
2023-04-21D08:01:03.971000000,DELL,L,28.43,7274
2023-04-21D08:01:13.235000000,IBM,O,47.53,6953
2023-04-21D08:01:15.299000000,IBM,O,47.53,2707
2023-04-21D08:01:16.127000000,DELL,N,28.39,8035
2023-04-21D08:01:16.810000000,CSCO,N,37.29,325
2023-04-21D08:01:24.460000000,CSCO,L,37.31,192
2023-04-21D08:01:25.119000000,ORCL,L,32.86,4025
2023-04-21D08:01:30.934000000,AAPL,N,25.39,2543
2023-04-21D08:01:36.519000000,MSFT,L,34.53,3410
2023-04-21D08:01:42.561000000,YHOO,N,35.66,686
2023-04-21D08:01:42.882000000,YHOO,N,35.66,1239
2023-04-21D08:01:43.996000000,NOK,N,30.96,3364
2023-04-21D08:01:53.491000000,GOOG,L,41.67,250
2023-04-21D08:01:58.715000000,IBM,L,47.62,3944
2023-04-21D08:01:59.498000000,MSFT,N,34.5,2956
2023-04-21D08:01:59.769000000,ORCL,O,32.87,176
2023-04-21D08:01:59.997000000,YHOO,L,35.58,5741
2023-04-21D08:02:07.665000000,AAPL,L,25.37,268
2023-04-21D08:02:14.760000000,IBM,N,47.59,4623
2023-04-21D08:02:18.244000000,MSFT,O,34.53,3460
2023-04-21D08:02:19.421000000,DELL,L,28.44,336
2023-04-21D08:02:21.306000000,YHOO,N,35.61,1471
2023-04-21D08:02:21.852000000,ORCL,N,32.98,2762
2023-04-21D08:02:22.709000000,CSCO,O,37.31,5669
2023-04-21D08:02:23.259000000,GOOG,N,41.66,2456
2023-04-21D08:02:24.715000000,YHOO,O,35.59,152
2023-04-21D08:02:30.213000000,IBM,L,47.58,870
2023-04-21D08:02:31.228000000,ORCL,L,32.95,520
2023-04-21D08:02:33.094000000,YHOO,N,35.6,4545
2023-04-21D08:02:33.319000000,YHOO,N,35.6,6228
2023-04-21D08:02:34.186000000,ORCL,L,33,6234
2023-04-21D08:02:35.965000000,MSFT,L,34.49,2788
2023-04-21D08:02:36.388000000,ORCL,L,32.95,8024
2023-04-21D08:02:38.164000000,DELL,O,28.4,1235
2023-04-21D08:02:51.474000000,GOOG,O,41.6,3926
2023-04-21D08:02:52.398000000,CSCO,L,37.27,148
2023-04-21D08:02:52.937000000,ORCL,L,32.98,5003
2023-04-21D08:03:02.641000000,ORCL,N,32.94,520
2023-04-21D08:03:14.037000000,DELL,N,28.44,2476
2023-04-21D08:03:15.119000000,IBM,O,47.54,895
2023-04-21D08:03:22.644000000,GOOG,N,41.6,4963
2023-04-21D08:03:22.946000000,CSCO,N,37.35,1775
2023-04-21D08:03:25.109000000,YHOO,O,35.56,3921
2023-04-21D08:03:25.192000000,ORCL,O,33.01,1377
2023-04-21D08:03:26.813000000,NOK,O,31.07,1169
2023-04-21D08:03:31.361000000,IBM,O,47.59,504
